ad_id,image_path,text,dimensions,Click-through(CTR),Cost per Click(CPC),Return on Ad Spend(ROAS),Conversion(Value less than CTR),Purchase_Conversion_rate,ClassLabel_final
2092.00,image_2092,"WEST SHORE
-H O ME
AMERICA'S MOST ADMIRED
HOME REMODELING BRANDⓇ
Contactar
CLICK FOR A FREE QUOTE
ALE
PATROCROFL: CROIDES, OFC14DEGA: GOOD14 POIN
PC MD MICH NICOH PLES PA PA Pis Contact HR
#263, Hans Invement Conor Lice D1000 TERPOP, RP0","(300, 250)",42,0.642111604,7.498371574,13,0,web_site
2093.00,image_2093,"COMMONWEALTH
=CLASH=
VIRGINIA, 2923
August 26-27, 2023
Richmond, Virginia
Deadline to register: Aug 4
MORE INFO","(300, 250)",93,0.560376155,6.044018681,28,5,envelope
2094.00,image_2094,"Suburban Medical Group
Affiliated with Suburban Community Hospital
WELCOME
Mohamad
Taha, M.D.
Interventional Cardiologist
CALL (610) 290-4270
LEARN MORE
www.suburbanhosp.org
Suburban
Medical Group
Cardiology
Department","(300, 250)",6,0.277993628,9.26347593,2,0,web_site
2095.00,image_2095,"CELEBRATE DAD
$10 UNLIMITED
POPULAR
WOODWORKING
SUBSCRIPTIONS
GIVE A GIFT NOW!
EH","(300, 250)",8,0.728906487,2.050631743,1,0,Windsor_tie
2096.00,image_2096,"POWELL ELECTRIC
DELLELEG ""We'll fix it...
POWELL
in a flash!""
Electrical
Repair Experts
CA LICENSE #631836
Schedule an appointment
800-896-5797","(970, 250)",75,0.275174113,8.187993962,18,3,comic_book
2097.00,image_2097,"INSPIRATION
sent DAILY
to your INBOX!
The
KJV VERSE
of the DAY
Bible Gateway
SIGN UP NOW","(728, 90)",42,0.567916881,0.419015109,8,2,shower_curtain
2098.00,image_2098,"Smaller is Stronger!
New Generation 35-350W AC/DC SMPS - LM-R2 series
✓ Compact size ✓ Cost-effective
High quality
us CE CB
www
MORNSUNⓇ","(728, 90)",45,0.162642882,3.543880644,14,2,bookcase
2099.00,image_2099,"RISLONE
100
1921 YEARS 2021
EXPECT MORE FROM BETTER PERFORMANCE,
YOUR ADDITIVES PROTECTION
LONGER LIFE & BETTER CLICK HERE
TO LEARN
MORE","(728, 90)",25,0.546327059,8.53922306,3,0,organ
2100.00,image_2100,"SLENERGY
All-in-One
Residential
Energy Solution","(300, 250)",72,0.182330225,6.446439677,19,1,web_site
2101.00,image_2101,"Provider Solutions
& Development
Recruitment Reimagined
Matches Made to Last
Find and Hire the Right Physicians for
Your Organization.
Partner With Us","(728, 90)",2,0.039445784,7.967133984,1,1,paintbrush
2102.00,image_2102,"SW
Middleten
Valle
MA
Thank you for voting MVB as one of the
Tri-States Best!
Middletown
Valley Bank.
A Community Heritage Financial, Inc. Company
Member
FDIC
1.844.533.9211
www.mvbbank.com","(300, 250)",4,0.536527308,4.256111797,1,0,web_site
2103.00,image_2103,"LLEELOU
Guidance and tools
for home buyers
Learn More","(728, 90)",52,0.373342021,3.173845194,13,1,paintbrush
2104.00,image_2104,"Lindblad
Expeditions
Π
Discover Expedition 360°
GROW YOUR SALES WITH OUR
ADVISOR TRAINING PROGRAM
GEOGRAPHIC
LEARN MORE","(970, 250)",34,0.426145172,5.361660622,5,0,scuba_diver
2105.00,image_2105,"Thank you!
SHOW THEM YOUR
SUPPORT OPERATION GRATITUDE","(300, 250)",66,0.49308439,8.075995409,16,3,barbershop
2106.00,image_2106,"INTRODUCING
WELL+BEING
FROM The Washington Post
Subtract the noise.
Add the experts.
SIGN UP","(970, 250)",14,0.755575647,0.846784276,4,0,envelope
2107.00,image_2107,"5X YOUR
ROAS
WITH A META DSP
AD PLATFORM
Learn More
genius
monkey
S","(728, 90)",13,0.246206997,7.491748153,2,0,bow
2108.00,image_2108,"WRAY
Ford
Benton Road @1-220 Bossier City
$1,000 CASH BACK 0%
*On select models w/ approved Ford financing
APR
Financing","(728, 90)",11,0.464847694,9.920586108,3,0,swab
2109.00,image_2109,"OCBS
VETERANS
NETWORK
PROUD TO SERVE THOSE WHO SERVE
LEARN MORE","(728, 90)",55,0.463967113,1.734360605,21,7,paintbrush
2110.00,image_2110,"J&JF
Flooring & Natural Stone","(970, 90)",35,0.205952396,9.692845497,7,1,chime
2111.00,image_2111,"Free trial
Enterprise-caliber
IT service desk software
(0)
ll
Learn more
ManageEngine
Service Desk Plus","(300, 250)",4,0.557397463,9.44765275,4,2,web_site
2112.00,image_2112,"WIN
YOUR
DREAM
WATCH!
THE PREMIUM
TIME COMPANY
10,
09
ROLEX
PELATIE METER
20
40
30","(300, 600)",34,0.422576771,3.021434536,10,2,stopwatch
2113.00,image_2113,"Trinasolar
Vertex N
Leading in the Nera
of solar energy
N","(300, 250)",32,0.778127823,3.390116545,10,2,monitor
2114.00,image_2114,"COOKIE
DOUGH
Childhood cancer didn't
stop for COVID-19. cookies
LETS GET BAKING! for kids' cancer","(728, 90)",21,0.536350265,6.590448689,6,1,candle
2115.00,image_2115,"SHEIN
Slow 8 day
ARCOAL BUABILI
MADQUE BALLE NIO
Summer Sale
UP TO
%
70 OFF
Save money. Live in style!
SHOP NOW","(160, 600)",40,0.602669569,6.960879817,8,2,web_site
2116.00,image_2116,"INNOKIN
KLYPSE ZIP
Pocket-sized Satisfaction","(970, 250)",22,0.308642791,9.826974798,5,0,carton
2117.00,image_2117,"IXC
Math Practice
Kindergarten
1st Grade
± 2nd Grade
∞ 3rd Grade
% 4th Grade
5th Grade
> 6th Grade
7th Grade
8th Grade
x² Algebra 1&2
Geometry
Σ Precalculus
Try 10 FREE
practice
problems!
Practice now","(970, 250)",29,0.266553678,9.469339886,8,1,web_site
2118.00,image_2118,"NEW UMC-BRANDED PRODUCTS AVAILABLE ORDER NOW
Perfect for gifts, giveaways or group apparel","(728, 90)",66,0.717555965,9.022488905,11,3,web_site
2119.00,image_2119,"PAIN AND SLEEP
Therapy Center
Newark DE, and Bryn Mawr PA.
Headaches, TMJ, Sleep Problems
dragging you down? Let us help!","(728, 90)",10,0.232761382,6.833932069,3,0,envelope
2120.00,image_2120,"BRILLIANT EARTH'
రా
ANYTHING
BUT ORDINARY
From tungsten to tantalum,
explore alternative metal bands
crafted for the extraordinary
SHOP MEN'S WEDDING BANDS","(300, 600)",1,0.839978315,7.902077622,0,0,chain
2121.00,image_2121,"COUPON CODES AVAILABLE
GET CODES
Capitale Shopping
F
I
I","(970, 90)",26,0.661129431,1.971878284,3,0,rule
2122.00,image_2122,"TIME TO
OREGON'S
MT.HOOD
TERRITORY
SPRUCE
THINGS UP
LEARN MORE","(728, 90)",39,0.681933569,2.95301664,14,0,street_sign
2123.00,image_2123,"SHEIN
WEAR YOUR WONDERFUL
AAAA
Free Return
SHOP NOW >","(728, 90)",13,0.601521957,4.373088829,3,2,candle
2124.00,image_2124,"b bloomreach
Personalization Beyond
{{first name}}
GET A DEMO","(728, 90)",4,0.182184335,4.994514077,2,0,jersey
2125.00,image_2125,"000
FREE
.app or .dev Q
DOMAIN NAME
porkbun
A
find yours >","(300, 250)",74,0.181736411,5.22794906,23,2,web_site
2126.00,image_2126,"CREATIVE
SHARP EDGES
SIMPLE
envatoelements
THE BEST POWERPOINT TEMPLATES
PITCH DECKS
BUSINESS
SLIDEWERK
START NOW
Brainstorm
EDUCATION
MEDICAL
MULTI-
PURPOSE","(970, 250)",52,0.323750134,1.441943111,9,3,web_site
2127.00,image_2127,"Love Your Patio
LEADERS
-FLORIDA LIVING
MING
GRAND
OPENING
WEST PALM
FLORIDA LIVING
SOUS","(728, 90)",36,0.343705388,5.708503767,10,2,window_shade
2128.00,image_2128,"PANTHEON
AGILE
Are You a
Digital Marketer?
Learn How Agile Can Help You
Learn More","(300, 250)",23,0.178851351,5.292826718,8,3,web_site
2129.00,image_2129,"Forgot To Let
The Dog Out?
Call
Chem-Dry!
ChemDry
Schedule
Today!","(300, 600)",17,0.251020493,0.299812773,3,0,pug
2130.00,image_2130,">abclegal
Explore Process Service","(728, 90)",25,0.189821574,8.648127194,9,2,oscilloscope
2131.00,image_2131,"neighbors together
BACK?
SCHOOL
BLOCK PARTY
SCHOOL SUPPLIES RESOURCE FAIR
COMMUNITY LUNCH. GAMES • AND MORE!","(300, 250)",82,0.390282333,7.147432436,22,8,web_site
2132.00,image_2132,"J
Jimmy Dean
Jangler 12
Biscuit
AC
SUPE
BAZAA
PUT MORE MMM
IN YOUR MORNING
Jimmy Dean
Sweet Maple
Griddle Cake
SHOP NOW
REAL
8
Dear 12
Croissant
Jaap ge
con
Available at
sam's club <>","(300, 250)",61,0.990193853,3.89024243,19,4,vending_machine
2133.00,image_2133,"Upgrade the SPEAKERS in your Camaro
CRUTCHFIELD Shop now","(728, 90)",27,0.126023641,1.079597361,4,1,comic_book
2134.00,image_2134,"Visit
MARSHALL
Texas
Come Boogie With Us In Marshall!
We've got History, Mystery,
Festivals, and Music Galore!
visitmarshalltexas.com","(728, 90)",44,0.457633834,0.081199662,9,1,street_sign
2135.00,image_2135,"LOVE THE WAY YOU LOOK
MEN'S WEARHOUSE
Hundreds of fits, designer
styles, and colors in one place.
EXPLORE NOW
Terms & Conditions apply.","(300, 600)",3,0.019383337,2.880612707,0,0,web_site
2136.00,image_2136,"Nation.CLIMATE
A biweekly newsletter of The Nation's
top climate coverage
#46
SIGN UP NOW!","(970, 250)",55,0.858129394,0.884648637,14,7,web_site
2137.00,image_2137,"TRI-STATE
LIQUORS
OUR PRICES MAKE PEOPLE SMILE
Delaware's Favorite
Beverage Store
CLICK HERE for Monthly Specials","(320, 50)",27,0.339017872,0.888513443,9,2,screwdriver
2138.00,image_2138,"ADVANCED ORTHOPEDIC CARE
Affiliated with Columbia University
Schedule Online
Mount Sinai
MEDICAL CENTER","(728, 90)",15,0.856420045,8.671562933,4,0,web_site
2139.00,image_2139,"STK
a new way to watch TV
ANYWHERE
and it's all FREE
Available on:
Roku, Apple TV,
Fire TV, iOS & Android
CHECK IT OUT","(300, 600)",25,0.636574777,2.845503839,2,0,comic_book
2140.00,image_2140,"D
Dividend.com
A High-Yielding
Gem: A Top-
Performing
D
Insurance Stock
That Stands Out
LEARN MORE ▸","(300, 600)",24,0.157145751,8.602303402,4,1,web_site
2141.00,image_2141,"Ad
Council
PARTNERSHIP FOR
Healthy Mouths
Healthy Lives
ei
17
2min2x.org","(728, 90)",3,0.777199789,8.319598286,0,0,chime
2142.00,image_2142,"HOW SMART
ARE YOU?
f
¿
FREE TESTS","(300, 250)",7,0.767212493,1.066521665,3,1,web_site
2143.00,image_2143,"Vermont
Public
Watch
Live TV","(300, 250)",18,0.600753941,0.944588188,3,1,street_sign
2144.00,image_2144,"DAVIS
LAW FIRM
$9.6M
JURY VERDICT
Commercial Vehicle Accident
Serious Leg Injury
417
ONE NUMBER • ONE CALL
444.4444
RIO GRANDE VALLEY
SAN ANTONIO
Attorney consultation by appointment only","(728, 90)",49,0.738923536,9.677491531,13,5,stole
2145.00,image_2145,"Hospital
Financial
Recovery
$1M Saved
on Hospital
Budgeting Efforts
READ THE CASE STUDY
1
strata","(300, 250)",16,0.379432025,2.692440869,5,0,web_site
2146.00,image_2146,"G
Write With Grammarly
It's Free
Send every email with confidance.
confidence","(728, 90)",27,0.755631336,5.287850086,5,0,web_site
2147.00,image_2147,"Custom laser cutting
is only the beginning!
Cutting, routing,
bending & more.
Explore Services
SendCutsend","(300, 600)",79,0.828105292,7.218828823,21,5,web_site
2148.00,image_2148,Lightinthebox.com,"(300, 250)",41,0.598215721,8.8051755,9,1,crutch
2149.00,image_2149,"TOP 10 MUST SEE WONDERS
OF THE WORLD TODAY","(300, 250)",15,0.649392949,7.40946603,4,1,cliff
2150.00,image_2150,"Don't
miss out!
Save up to 80%
on amazing
baby products!
VIEW
OFFERS
NEW OFFERS
ADDED WEEKLY SO
DON'T MISS OUT!","(160, 600)",18,0.536713852,1.941902887,9,1,web_site
2151.00,image_2151,"norma SHOOTING.COM
BLACK
FRIDAY
SUPER SALE
SAVE BIG ON
PREMIUM
AMMUNITION
ALL MONTH LONG!
SHOP NOW ▸","(300, 250)",30,0.414853286,0.536438364,9,1,brass
2152.00,image_2152,"I got it at
Costco
SIGN UP
COSTCO
EWHOLESALE","(728, 90)",7,0.686096685,5.092348328,2,0,paintbrush
2153.00,image_2153,"TAMRON
SUMMER
SAVINGS
UP TO $200
INSTANT SAVINGS
[$200 USD/$300 CAD]
SHOP TAMRON LENSES
OF 100
TAMPOH
www.","(300, 250)",49,0.550247558,7.147701479,14,0,binoculars
2154.00,image_2154,"FREE COUPON
See Codes
Capital One Shopping
The Coupon-Finding
Browser Extension
I","(336, 280)",39,0.174878394,3.725507237,8,2,web_site
2155.00,image_2155,"Save for
their future...
FutureScholar
South Carolina's 529 College Savings Plan","(728, 90)",22,0.552408267,5.454874143,6,2,pole
2156.00,image_2156,"Amortgage.net
Today's Refinance Rate
* APR 15
1.997%
1917
NO REGISTRATION, NO LOGIN REQUIRED
Calculate Payment
*Terms & conditions apply. NMLS #1912050 (nmisconsumeraccess.org).
YR FIXED
TERM","(728, 90)",99,0.6685012,9.481779969,22,5,web_site
2157.00,image_2157,"Black
FRIDAY SALE
70% OFF
*Free Shipping
on Everything!
SHOP NOW
6px
June","(728, 90)",47,0.861170824,6.139753417,13,3,bow
2158.00,image_2158,"KNIGHT
ALWAYS
LEADING THE
CHARGE
LEARN MORE
Lochinvar","(300, 250)",33,0.77953356,0.476196785,11,1,toilet_seat
2159.00,image_2159,"Ready to join Sunday service safely?
Get up. Get out. Get vaccinated.
Find a vaccination site near you Click Here","(728, 90)",1,0.376314788,4.04528731,0,0,pole
2160.00,image_2160,"VOTE FOR YOUR FAVOURITE
DESTINATIONS, HOTELS,
AIRLINES, AIRPORTS & MORE!
VOTE NOW
*T&C apply
Traveller
READERS' TRAVEL
AWARDS 2023
Prizes through
PREFERRED
TRWEL
GROUP","(300, 250)",17,0.269632089,7.239429875,7,0,gas_pump
2161.00,image_2161,"Hill's
the best nutrients
for their best life
Shop Cat Food","(728, 90)",25,0.185595451,9.020092084,7,0,paintbrush
2162.00,image_2162,"FANDANGO
F
FANDANGO
we love movies
F
FANDANGO
ONE GIFT CARD.
ENDLESS MOVIE ADVENTURES.
BUY NOW","(300, 250)",88,0.49257182,1.417155484,23,5,Band_Aid
2163.00,image_2163,"indow
orld
THE VERY BEST REPLACEMENT
WINDOWS, DOORS, & HOME
SIDING IN BIRMINGHAM!
REQUEST FREE ESTIMATE","(300, 250)",19,0.996375193,1.078782244,6,3,web_site
2164.00,image_2164,"ANNUAL
22ND
WA
WHATSONSTAGE
AWARDS
YOU DECIDE THE SHORTLIST
NOMINATE NOW","(300, 250)",1,0.939457252,9.899168677,1,0,barrel
2165.00,image_2165,"From Hello
to Help,
211 is Here
2.1.1
Get Connected. Get Help.""
MERCING VALLA
1900
www","(300, 250)",18,0.966235043,2.836347575,1,0,web_site
2166.00,image_2166,"Motorcyclist
Reviews, Rides, and More.
MICHELIN
""NOSHLAYD
Visit Motorcyclist >
!!!!!","(300, 600)",4,0.256973136,1.65285201,0,0,disk_brake
2167.00,image_2167,"NURX.
AGE BETTER WITH
TRETINOIN
GOLD STANDARD
ANTI-AGING
INGREDIENT
Learn More","(970, 250)",37,0.783142334,8.555395237,12,2,lab_coat
2168.00,image_2168,"I COULD USE HELP WITH
MIDLAND
CARE
Hope, Comfort and Support
DAILY ACTIVITIES
CARING FOR AN AGING LOVED ONE
MEALS ON WHEELS - DAILY MEAL PROGRAM
CALL MIDLAND CARE TODAY. WE CAN HELP.
1-800-491-3691","(300, 250)",73,0.233560289,0.082347635,17,2,web_site
2169.00,image_2169,"CSO
50
AWARDS
Nominations for the
2023 CSO50 AWARDS
are open!
Deadline: 04.24.23","(300, 250)",13,0.133023114,8.314093057,3,1,cash_machine
2170.00,image_2170,"Midway
Just about everything.
shop now","(300, 250)",40,0.637357685,2.969196147,8,2,assault_rifle
2171.00,image_2171,"2? FREEQUIZGAMES
Which Squishmallow Are You?
START TEST","(336, 280)",38,0.345210689,9.191913979,11,2,bathing_cap
2172.00,image_2172,"i
TOP NOTCH
Computers & Repairs. Commercial Technology Services
Expert Computer Repairs
& Network Services
Data & Disaster Recovery
Services
• Business & Medical IT
Consulting
• Residential Computer Help
• Cybersecurity Solutions
Local to NoVA
>>> CONTACT US < < <","(300, 250)",42,0.775172105,0.679937613,9,2,web_site
2173.00,image_2173,"MAKE A SPLASH
WITH RUDE RAINBOW","(300, 250)",30,0.629790696,0.281892161,5,1,swimming_trunks
2174.00,image_2174,"S
FECAR
*T&Cs apply
SAFETY C
Win a Set of Sport Maxx
060+ SUV tyres*
STICK WITH
DUNLOP
ENTER NOW","(728, 90)",48,0.231348376,7.590255292,16,2,hammer
2175.00,image_2175,"FISHER INVESTMENTS®
How Far Does $1 Million
Go in Retirement?
Learn More","(970, 250)",5,0.184695861,0.472844153,1,1,web_site
2176.00,image_2176,"ASHLEY
update
the look
of your
updated
space
shop now →","(160, 600)",41,0.793859209,7.611990296,12,2,dining_table
2177.00,image_2177,"Practice
French
Practice
Italian
Practice
Portuguese
Practice
German
Practice
Spanish
+Babbel","(300, 250)",5,0.137889728,2.493082667,1,0,web_site
2178.00,image_2178,"LOLEELOU
Guidance
and tools for
Home Buyers.
Learn More","(300, 250)",7,0.136009543,3.917183865,2,2,church
2179.00,image_2179,"LARRY'S MARKET RUN
2023
WORLD TOUR
WHose
9
TEXT UNCLE LARRY (415) 548-9125
NORTH AMERICA
LIVE NATION
ATM
WITH MONROE FLOW & DVME
JUNE 27
THE FILLMORE
SILVER SPRING","(300, 600)",21,0.405312978,2.86872354,9,3,web_site
2180.00,image_2180,"The Star
UNCLUTTER
YOUR NEWS FEED
The Star
T&Cs apply.","(300, 250)",50,0.720110527,7.093083464,17,3,web_site
2181.00,image_2181,"Reserve your one-hour
complimentary tour!
A. Smith Bowman
DISTILLERY
Book Your Visit!","(728, 90)",5,0.978204517,3.383196693,1,0,barrel
2182.00,image_2182,"NEW STATESMAN
POLITICSLIVE
TUESDAY 27 JUNE 2023 | LONDON
# NSLive","(970, 250)",24,0.789491045,0.48277597,4,0,envelope
2183.00,image_2183,"REST gravitee.io
Kafka
SOAP
MQTT...
Manage all
your APIs >","(300, 250)",29,0.985869683,3.124050749,8,1,scoreboard
2184.00,image_2184,"ORACLE
NETSUITE
Top
Businesses
Are Using
This
Framework.
Are You?
Download Guide","(300, 250)",16,0.938967873,0.046017474,6,1,cash_machine
2185.00,image_2185,"#1
DOCTOR RECOMMENDED
form of turmeric curcumint
Qunol®
TURMERIC
available at
amazon
BUY NOW
Dun
+ Dr. Travis Stork M.D.","(300, 250)",20,0.182901224,1.932493033,6,2,web_site
2186.00,image_2186,"U.S. Airport
Professional Program
Earn your USAP accreditation >>
ACT
NORTH AMERICA","(970, 90)",8,0.496951826,5.113440926,1,0,organ
2187.00,image_2187,"8.6
V
Cloud Marketing
Analytics
dummies
DELIVER ON
THE PROMISE
OF ANALYTICS
GET THE GUIDE
snowflake","(970, 90)",34,0.512752852,7.48905985,7,1,comic_book
2188.00,image_2188,"TEXAS WINE STARTS
IN THE HIGH PLAINS","(300, 250)",45,0.789937633,0.513825297,12,1,book_jacket
2189.00,image_2189,"2023
LAKE COUNTY
FAIR
Tuesday,
July 25th
is Veterans Day.
Wednesday,
July 26th
is Family Day.
Thursday,
July 27th
is Kids Day.
Friday,
July 28th
is Seniors Day.","(728, 90)",42,0.330951244,8.885292293,9,1,shower_curtain
2190.00,image_2190,"LIMITED TIME ONLY
mintmobile
UNLIMITED
PREMIUM WIRELESS -
NOW JUST $15/MO
Addrestrictions apply. Taxes & for extra. New activation ned
Min. 3 mo purchase. Data speeds reduce >4008/mo. See mintmable.com
GET OFFER","(300, 250)",48,0.199119767,3.511168951,11,2,web_site
2191.00,image_2191,"TRI-STATE ROOFING DOORS 1-800-645-4568
SIDING
WINDOW FACTORY CORP. tristatewindowfactory.com
CUT YOUR ENERGY BILLS
Our super high performance, custom made,
energy efficient windows can save you
enough on home heating & air conditioning
costs to pay for themselves over time!","(728, 90)",49,0.19591154,6.462787792,16,2,book_jacket
2192.00,image_2192,"Corsaw
wood
Lumber.
Inc.
Hard
26015 N County Hwy 2,
Smithfield, IL
309-293-2055","(300, 250)",25,0.145724197,3.771344455,3,0,brass
2193.00,image_2193,"Signs and graphics
to connect with
customers
Commerce
Industries
LEARN MORE
FedEx
Office","(300, 250)",36,0.309375399,8.876659684,8,2,carton
2194.00,image_2194,"SILK VISION
& SURGICAL CENTER
98% of our LASIK patients
achieve 20/20 vision or better
Learn
More","(728, 90)",37,0.049861982,5.666215137,10,0,shower_curtain
2195.00,image_2195,"49ULY
Co
NA
Tuesday, July 4th
Live Entertainment. Kids Activities. Street Performers
Finished with spectacular
fireworks display
Click for more information","(728, 90)",65,0.376128344,6.480086435,17,4,ski
2196.00,image_2196,"WIN THIS HOUSE
AND START
EVERY DAY HERE
All to support Make-A-Wish.
I'm in
omaze","(970, 250)",6,0.014554014,6.016284901,3,0,file
2197.00,image_2197,"kitele
+5000 TVs,
the best price
DA
10","(160, 600)",37,0.46020754,7.182873758,13,2,digital_clock
2198.00,image_2198,"SHINE
Time To Leave Toilet Cleaning
To The Robots
GET OFFER
Sponsored | Shine","(970, 250)",38,0.128578618,8.656162908,7,1,lotion
2199.00,image_2199,", footage, and music-all in 1 plan.
Learn more
shutterstock flex","(970, 90)",41,0.513212414,2.468696459,13,2,window_shade
2200.00,image_2200,"BEGIN YOUR SUCCESS STORY
Degrees in Business, Nursing, Counseling,
Healthcare & Technology
Learn More
South
UNIVERSITY'","(728, 90)",11,0.643321853,7.506486645,3,2,paintbrush
2201.00,image_2201,"30
TxBrows
THE NIGHTMARE BEFORE CHRISTMAS
ANNIVERSARY
Disney
HOT TOPIC
SHOP NOW","(728, 90)",99,0.777401332,2.276150456,29,9,window_shade
2202.00,image_2202,"Ranked #1 BEST
Children's Hospital in
CHILDREN'S
Tampa Bay HOSPITALS
U.S.News
RANKED IN
4 SPECIALTIES
2022-23
Learn more » JOHNS HOPKINS
All Children's Hospital","(300, 250)",27,0.905780693,3.448415154,7,4,envelope
2203.00,image_2203,"PADDY
GOWER
HAS ISSUES
D
VERE
STARTS WED 7.30PM
+HR=E
+HR-E now","(970, 250)",50,0.82822774,2.742105165,7,1,stage
2204.00,image_2204,"NTD ORIGINAL
Persecution
of the Century
20 Years of
Crime Against Huma","(970, 250)",58,0.446720622,4.286792854,22,4,pole
2205.00,image_2205,"STETSON UNIVERSITY
School of Business Administration
MASTER OF
ACCOUNTANCY
100% ONLINE!
No GMAT/GRE Required
APPLY BY
DECEMBER 1st
LEARN MORE","(160, 600)",19,0.296936443,5.233277477,5,1,web_site
2206.00,image_2206,"Tashkent 21
WORLD SAMBO CHAMPIONSHIPS
WORLD SAMBO CHAMPIONSHIPS
12-14 NOVEMBER
ROSNEFT
GENERAL PARTNER
SAMBO FEDERATION","(970, 90)",19,0.59604119,8.704686059,8,0,rubber_eraser
2207.00,image_2207,"Where to Have a
Date Night in LA
READ MORE
ON EATER >>
total orizon","(728, 90)",16,0.476257437,4.450209603,4,1,nail
2208.00,image_2208,"Capabilities
Upholstery Services
CLICK HERE TO LEARN MORE
With over 40 years of upholstery Experience, Capabilities
can custom make the seating you truly want for your customers
and breathe new life into your cherished antiques or flea market finds!","(728, 90)",5,0.366066923,6.70425883,2,0,slide_rule
2209.00,image_2209,"NEXT LEVEL
SCOPRILA
RANGE ROVER
SPORT","(970, 250)",41,0.160258062,1.667884749,10,0,speedboat
2210.00,image_2210,"Make a
SMARI Hiring Event
SMART Wednesday, Nov. 17 | 10 AM - 2 PM
Career Move
Thursday, Nov. 18 | 9 AM - 1 PM
Oakland Terminal
Click for
Details >>","(728, 90)",8,0.435363616,0.410791312,1,1,barn
2211.00,image_2211,"Imagine the
Possibilities
Design Your Yurt in 3D >>
pacífic
Providing Award-Winning
yurts Inc Modern Yurts Since 1978
The Original Modern Yurt""","(300, 250)",91,0.284812193,5.163747075,21,2,yurt
2212.00,image_2212,"Continue to Recipe
3 Easy Steps: 1) Click ""Continue to Recipe"" 2) Add RecipeForMe Extension. 3) See Delicious Recipes!","(970, 250)",7,0.578845895,2.756675731,4,0,web_site
2213.00,image_2213,"YOUR CONNECTION
TO THE WORLD
Don't fight the drive to Pittsburgh,
fly United out of your hometown airport.
Book today at flyjst.com
JOHNSTOWN
airport
ÚNI
UNITED
Flights operated by Skywest Airlines
f","(300, 250)",47,0.30543949,9.00313773,12,2,airliner
2214.00,image_2214,"bluehost
Building a brand?
Bluehost makes it happen.
Get Started","(336, 280)",42,0.859951593,9.134126281,9,2,web_site
2215.00,image_2215,"Medscape ORIGINAL
THE BOB HARRINGTON SHOW
Career Pivot: Leaving
Clinical Medicine
Listen Now ►","(300, 250)",1,0.375610063,6.745884838,0,0,web_site
2216.00,image_2216,"T-SHIRT SEASON IS HERE
FIND THE BEST T-SHIRTS NOW
SPY","(970, 250)",25,0.734638094,6.766759645,12,1,carton
2217.00,image_2217,"JABRAKŁOGRAPHIC.COM.AU
Australian
GEOGRAPHIC
The very best of Australia's nature, culture, people and places
ESTA
Whirds Cont
Cat
TEEMING
WITH LI
Autok
STINSON
WALK
Ay
HOME OF THE KELPIE
WHERE AUSTRALIA'S FAVOURITE
FARM DOG BEGAN
SAVE
OVER $26
when you subscribe to
Australian Geographic","(300, 600)",65,0.136623906,1.9607301,16,5,web_site
2218.00,image_2218,"UNLOCK NOW
50%
with code: SUMMER50
XV","(728, 90)",11,0.63554757,2.873858558,3,0,chime
2219.00,image_2219,"GO
get UP
DC
WUSA
HOW YOU START YOUR DAY
MATTERSI
WEEKDAYS STARTING AT
4:25A
WUSA9.com
WUSA9+","(728, 90)",15,0.242426347,9.032579094,1,0,bow
2220.00,image_2220,"A MODERNIZED ELECTRIC GRID
MEANS FEWER OUTAGES
FORCE FOR YOU
FORCE OF CHANGE
LEARN MORE
Consumers Energy
Count on Us","(728, 90)",22,0.475460969,7.417398736,4,2,bookshop
2221.00,image_2221,"MIDLAND
THE LAST RESORT:
GREETINGS FROM
AN OPECIAL GEN
MIKKI LANE
CHANE CHOTH & THE CANTS
TOUR
SATURDAY, OCTOBER 15
GREEK THEATRE | LOS ANGELES, CA","(300, 250)",82,0.425858393,8.677843623,16,2,brass
2222.00,image_2222,"United
Healthcare
See what care can do
Learn More","(728, 90)",66,0.982313229,4.408101482,15,0,sweatshirt
2223.00,image_2223,"Reform
Kitchen design with
room for personality
Learn more","(300, 600)",38,0.646766135,9.735187639,6,1,bathtub
2224.00,image_2224,"Take a Tour of the
THERMWOOD
Cut Center
Selecti
L","(300, 250)",11,0.303266979,9.156066883,2,0,web_site
2225.00,image_2225,"HashiCorp
Automate build management
across cloud providers
Try for free →","(728, 90)",24,0.229969028,1.41348079,2,1,monitor
2226.00,image_2226,"TAMRON
Mother's Day
SAVINGS
UP TO $200
INSTANT SAVINGS
[$200 USD/ $300 CAD]
SHOP TAMRON LENSES ‣","(300, 250)",100,0.076707428,7.592898604,25,3,ashcan
2227.00,image_2227,"Micromobility Powered by Particle.
Free Cellular. Accurate GPS. Device Management.
Go
41
* Particle
LEARN HOW","(728, 90)",14,0.082740517,1.164769231,2,0,gas_pump
2228.00,image_2228,"FREE COUPON
SEE CODES
Capital Shopping
The Coupon-Finding
Browser Extension
I","(336, 280)",1,0.055281875,0.031189954,0,0,web_site
2229.00,image_2229,"Sandy Hook
PROMISE
Learn the signs at Sandy HookPromise.org","(300, 250)",32,0.095504007,5.704062356,8,2,digital_clock
